x,mean,ci_min,ci_max
0.0,0.46087758601584294,0.2277569449303703,0.6939982271013141
0.1,0.4632486505702769,0.23253330294247054,0.6939639981980817
0.2,0.46559735241311156,0.2372414355459017,0.69395326928032
0.3,0.46792391294519553,0.24188209612579553,0.693965729764594
0.4,0.47022855255234275,0.2464560338014251,0.694001071303259
0.5,0.47251149060609954,0.25096399343525777,0.6940589877769399
0.6,0.47477294546451126,0.2554067156420104,0.6941391752870107
0.7,0.4770131344728898,0.2597849367977033,0.6942413321480752
0.8,0.4792322739645803,0.2640993890487144,0.6943651588804449
0.9,0.481430579261728,0.26835080032083386,0.6945103582026206
1.0,0.4836082646760453,0.2725398943283184,0.6946766350237709
1.1,0.4857655435095788,0.2766673905829448,0.6948636964362116
1.2,0.4879026280554764,0.280734004403065,0.6950712517078866
1.3,0.49001972959875395,0.2847404469226601,0.6952990122748466
1.4,0.4921170584170623,0.2886874251003945,0.695546691733729
1.5,0.4941948237814547,0.2925756417286708,0.6958140058342375
1.6,0.49625323395715304,0.2964057954426827,0.6961006724716223
1.7,0.4982924962043156,0.30017858072947123,0.6964064116791588
1.8,0.5003128167788033,0.3038946879369772,0.6967309456206285
1.9,0.5023144009329475,0.30755480328309664,0.6970739985827975
2.0,0.504297452916316,0.31115960886473465,0.6974352969678966
2.1,0.5062621759764809,0.3147097826668596,0.6978145692861014
2.2,0.5082087723597849,0.3182059985715576,0.6982115461480113
2.3,0.5101374433121089,0.32164892636708686,0.6986259602571299
2.4,0.5120483890796382,0.3250392317569318,0.6990575464023436
2.5,0.5139418089096304,0.32837757636885717,0.6995060414504026
2.6,0.5158179010511814,0.33166461776396267,0.6999711843383994
2.7,0.5176768627559936,0.334901009445737,0.7004527160662494
2.8,0.5195188902791412,0.3380874008691122,0.7009503796891695
2.9,0.5213441788798392,0.34122443744951836,0.7014639203101591
3.0,0.5231529228222082,0.3443127605719369,0.7019930850724787
3.1,0.5249453153760433,0.34735300759995585,0.70253762315213
3.2,0.5267215488175798,0.3503458118848235,0.7030972857503355
3.3,0.5284818144302609,0.35329180277450295,0.7036718260860182
3.4,0.5302263025055042,0.3561916056227264,0.7042609993882814
3.5,0.5319552023434689,0.3590458417980493,0.7048645628888878
3.6,0.5336687022538229,0.36185512869290504,0.7054822758147403
3.7,0.5353669895565096,0.3646200797326583,0.7061138993803604
3.8,0.5370502505825148,0.36734130438466034,0.7067591967803686
3.9,0.5387186706746336,0.3700194081673027,0.707417933181964
4.0,0.5403724341882381,0.3726549926590718,0.7080898757174037
4.1,0.5420117244920433,0.3752486555076029,0.708774793476483
4.2,0.5436367239688747,0.3778009904387347,0.7094724574990142
4.3,0.5452476140164355,0.38031258726556316,0.7101826407673074
4.4,0.5468445750480728,0.3827840318974964,0.710905118198649
4.5,0.5484277864935456,0.3852159063493086,0.7116396666377823
4.6,0.5499974267997906,0.3876087887501941,0.7123860648493867
4.7,0.5515536734316902,0.3899632533528224,0.7131440935105575
4.8,0.5530967028728386,0.39227987054239144,0.7139135352032855
4.9,0.55462669062631,0.3945592068456829,0.7146941744069367
5.0,0.556143811215424,0.3968018249401154,0.7154857974907322
5.1,0.5576482381845138,0.3990082836628,0.7162881927062273
5.2,0.5591401440996927,0.40117913801959326,0.7171011501797919
5.3,0.5606197005496212,0.40331493919415257,0.7179244619050895
5.4,0.5620870781462738,0.4054162345569897,0.7187579217355575
5.5,0.563542446525706,0.4074835676745254,0.7196013253768863
5.6,0.5649859743488215,0.40951747831814367,0.7204544703794991
5.7,0.5664178293021391,0.411518502473246,0.7213171561310321
5.8,0.5678381780985595,0.4134871723483054,0.7221891838488133
5.9,0.5692471864781323,0.41542401638392146,0.7230703565723429
6.0,0.5706450192088232,0.4173295592618735,0.7239604791557728
6.1,0.5720318400872808,0.4192043219141757,0.7248593582603857
6.2,0.5734078119396037,0.42104882153213125,0.7257668023470759
6.3,0.5747730966221071,0.4228635715753863,0.7266826216688278
6.4,0.5761278550220904,0.42464908178098454,0.7276066282631961
6.5,0.5774722470586037,0.4264058581724214,0.7285386359447859
6.6,0.5788064316832149,0.4281344030686982,0.7294784602977313
6.7,0.5801305668807766,0.42983521509337674,0.7304259186681763
6.8,0.5814448096701933,0.43150878918363317,0.7313808301567534
6.9,0.5827493161051882,0.43315561659931245,0.732343015611064
7.0,0.5840442412750704,0.4347761849319831,0.7333122976181574
7.1,0.5853297393055011,0.43637097811399045,0.7342885004970117
7.2,0.5866059633592619,0.437940476427512,0.7352714502910118
7.3,0.5878730656370206,0.4394851565136108,0.7362609747604304
7.4,0.5891311973780987,0.4410054913812906,0.7372569033749069
7.5,0.5903805088612384,0.44250195041654916,0.7382590673059277
7.6,0.5916211494053694,0.4439749993914336,0.7392672994193051
7.7,0.5928532673703757,0.4454251004730936,0.7402814342676578
7.8,0.5940770101578633,0.4468527122328365,0.7413013080828901
7.9,0.5952925242119264,0.44825828965518133,0.7423267587686713
8.0,0.5964999550199145,0.44964228414691276,0.7433576258929161
8.1,0.5976994471131999,0.45100514354613597,0.7443937506802638
8.2,0.5988911440679441,0.4523473121313304,0.7454349760045579
8.3,0.6000751885058652,0.45366923063040443,0.7464811463813261
8.4,0.6012517220950044,0.4549713362297493,0.7475321079602596
8.5,0.6024208855504933,0.4562540625832937,0.7485877085176932
8.6,0.6035828186353211,0.4575178398215579,0.7496477974490846
8.7,0.6047376601611011,0.4587630945607081,0.7507122257614942
8.8,0.6058855479888376,0.4599902499116105,0.751780846066065
8.9,0.6070266190296938,0.461199725488886,0.7528535125705016
