x,mean,ci_min,ci_max
92.9,0.9744602131643615,0.9273307195686274,0.9943329459257982
93.0,0.974593740283166,0.9276628347127094,0.9943329459257982
93.1,0.9747266312124978,0.9279940421754613,0.9943329459257982
93.2,0.9748588877685533,0.9283243428698843,0.9943329459257982
93.3,0.9749905117679757,0.9286537377118337,0.9943329459257982
93.4,0.9751215050278356,0.9289822276199989,0.9943329459257982
93.5,0.9752518693656098,0.9293098135158832,0.9943329459257982
93.6,0.975381606599162,0.9296364963237825,0.9943329459257982
93.7,0.9755107185467218,0.9299622769707663,0.9943329459257982
93.8,0.975639207026865,0.9302871563866559,0.9943329459257982
93.9,0.9757670738584932,0.930611135504005,0.9943329459257982
94.0,0.9758943208608131,0.9309342152580786,0.9943329459257982
94.1,0.9760209498533173,0.9312563965868332,0.9943329459257982
94.2,0.976146962655763,0.9315776804308958,0.9943329459257982
94.3,0.9762723610881523,0.9318980677335441,0.9943329459257982
94.4,0.9763971469707121,0.9322175594406856,0.9943329459257982
94.5,0.9765213221238734,0.9325361565008373,0.9943329459257982
94.6,0.9766448883682515,0.9328538598651056,0.9943329459257982
94.7,0.9767678475246253,0.9331706704871656,0.9943329459257982
94.8,0.9768902014139176,0.9334865893232407,0.9943329459257982
94.9,0.9770119518571746,0.9338016173320823,0.9943329459257982
95.0,0.9771331006755455,0.9341157554749494,0.9943329459257982
95.1,0.9772536496902626,0.9344290047155881,0.9943329459257982
95.2,0.977373600722621,0.9347413660202113,0.9943329459257982
95.3,0.9774929555939578,0.935052840357478,0.9943329459257982
95.4,0.9776117161256329,0.9353634286984738,0.9943329459257982
95.5,0.9777298841390079,0.935673132016689,0.9943329459257982
95.6,0.9778474614554261,0.9359819512879995,0.9943329459257982
95.7,0.9779644498961926,0.936289887490646,0.9943329459257982
95.8,0.9780808512825535,0.9365969416052132,0.9943329459257982
95.9,0.9781966674356763,0.9369031146146101,0.9943329459257982
96.0,0.978311900176629,0.9372084075040487,0.9943329459257982
96.1,0.9784265513263602,0.9375128212610245,0.9943329459257982
96.2,0.9785406227056793,0.9378163568752959,0.9943329459257982
96.3,0.9786541161352353,0.9381190153388629,0.9943329459257982
96.4,0.9787670334354973,0.938420797645948,0.9943329459257982
96.5,0.9788793764267341,0.9387217047929749,0.9943329459257982
96.6,0.9789911469289937,0.9390217377785486,0.9943329459257982
96.7,0.9791023467620836,0.9393208976034344,0.9943329459257982
96.8,0.97921297774555,0.9396191852705384,0.9943329459257982
96.9,0.9793230416986581,0.9399166017848861,0.9943329459257982
97.0,0.9794325404403711,0.9402131481536027,0.9943329459257982
97.1,0.9795414757893309,0.9405088253858924,0.9943329459257982
97.2,0.9796498495638373,0.9408036344930181,0.9943329459257982
97.3,0.9797576635818276,0.9410975764882807,0.9943329459257982
97.4,0.9798649196608569,0.9413906523869996,0.9943329459257982
97.5,0.9799716196180777,0.9416828632064906,0.9943329459257982
97.6,0.9800777652702193,0.9419742099660476,0.9943329459257982
97.7,0.9801833584335679,0.9422646936869206,0.9943329459257982
97.8,0.9802884009239465,0.9425543153922955,0.9943329459257982
97.9,0.9803928945566943,0.9428430761072749,0.9943329459257982
98.0,0.9804968411466467,0.943130976858856,0.9943329459257982
98.1,0.9806002425081148,0.9434180186759115,0.9943329459257982
98.2,0.9807031004548656,0.9437042025891683,0.9943329459257982
98.3,0.9808054168001015,0.943989529631188,0.9943329459257982
98.4,0.9809071933564399,0.9442740008363456,0.9943329459257982
98.5,0.9810084319358935,0.9445576172408096,0.9943329459257982
98.6,0.9811091343498494,0.9448403798825215,0.9943329459257982
98.7,0.9812093024090491,0.9451222898011755,0.9943329459257982
98.8,0.9813089379235689,0.9454033480381977,0.9943329459257982
98.9,0.9814080427027986,0.9456835556367263,0.9943329459257982
99.0,0.981506618555422,0.9459629136415907,0.9943329459257982
99.1,0.9816046672893963,0.946241423099291,0.9943329459257982
99.2,0.9817021907119323,0.9465190850579785,0.9943329459257982
99.3,0.9817991906294735,0.9467959005674341,0.9943329459257982
99.4,0.9818956688476767,0.9470718706790485,0.9943329459257982
99.5,0.9819916271713908,0.9473469964458021,0.9943329459257982
99.6,0.9820870674046375,0.9476212789222438,0.9943329459257982
99.7,0.9821819913505904,0.9478947191644714,0.9943329459257982
99.8,0.982276400811555,0.9481673182301107,0.9943329459257982
99.9,0.9823702975889488,0.9484390771782949,0.9943329459257982
100.0,0.9824636834832802,0.9487099970696451,0.9943329459257982
100.1,0.9825565602941292,0.948980078966249,0.9943329459257982
100.2,0.9826489298201266,0.9492493239316407,0.9943329459257982
100.3,0.9827407938589341,0.9495177330307806,0.9943329459257982
100.4,0.9828321542072238,0.9497853073300349,0.9943329459257982
100.5,0.9829230126606578,0.9500520478971546,0.9943329459257982
100.6,0.9830133710138688,0.9503179558012561,0.9943329459257982
100.7,0.9831032310604386,0.9505830321128003,0.9943329459257982
100.8,0.9831925945928793,0.9508472779035716,0.9943329459257982
100.9,0.9832814634026117,0.9511106942466588,0.9943329459257982
101.0,0.9833698392799459,0.9513732822164335,0.9943329459257982
101.1,0.9834577240140611,0.9516350428885303,0.9943329459257982
101.2,0.9835451193929847,0.9518959773398263,0.9943329459257982
101.3,0.9836320272035729,0.9521560866484207,0.9943329459257982
101.4,0.9837184492314897,0.9524153718936141,0.9943329459257982
101.5,0.983804387261187,0.9526738341558886,0.9943329459257982
101.6,0.9838898430758849,0.952931474516887,0.9943329459257982
101.7,0.9839748184575503,0.9531882940593928,0.9943329459257982
101.8,0.9840593151868777,0.9534442938673091,0.9943329459257982
101.9,0.9841433350432685,0.953699475025639,0.9943329459257982
102.0,0.9842268798048107,0.9539538386204646,0.9943329459257982
102.1,0.984309951248259,0.9542073857389269,0.9943329459257982
102.2,0.9843925511490142,0.9544601174692056,0.9943329459257982
102.3,0.9844746812811034,0.9547120349004976,0.9943329459257982
102.4,0.9845563434171591,0.9549631391229984,0.9943329459257982
102.5,0.9846375393283998,0.9552134312278798,0.9943329459257982
102.6,0.984718270784609,0.9554629123072713,0.9943329459257982
102.7,0.9847985395541154,0.9557115834542379,0.9943329459257982
102.8,0.9848783474037728,0.9559594457627613,0.9943329459257982
102.9,0.9849576960989391,0.9562065003277181,0.9943329459257982
103.0,0.9850365874034571,0.9564527482448609,0.9943329459257982
103.1,0.9851150230796336,0.9566981906107963,0.9943329459257982
